scope,where_defined,rule_value,effect,notes
fully_excluded_sheets,src/config_loader.py:EXCLUDED_SHEETS,"{'LOT I01-VDSTP', 'LOT I02-FKI'}",Every document on these sheets is excluded with reason 'EXCLUDED_SHEET:<sheet>'.,LOT I01-VDSTP is infrastructure-only. LOT I02-FKI is a sub-lot split handled separately.
exception_columns,src/flat_ged/input/source_main/consultant_mapping.py:EXCEPTION_COLUMNS,"32 entries (A05-MNS EXT, A06-REVET FAC, A07-CSQ PREFA, A08-MR, A22-SDB Préfa, A31-33-34-ELEC, A41-CVC, A42 PLB, B05-MNS EXT, B06 - REVÊTEMENT EXT, B13 - METALLERIE SERRURERIE, B31-33-34-CFO-CFA, B35-GTB, B41-CVC, B42 PLB, H05-MNS EXT, H06-REVET FAC, H07-CSQ PREFA, H08-MUR RIDEAUX, H31-33-34-CFO-CFA, H35-GTB, H41-CVC, H42 PLB, H51-ASC, 00-TCE, 01-TERRASSEMENTS, 02-FONDATIONS SPECIALES, 03-GOE, 08-MURS RIDEAUX, 35-GTB, 41-CVC, 42-PLB, Sollicitation supplémentaire, 0-BET Géotech, 0-BET Synthèse, 0-BIM Manager, 0-CSPS)",These GED column headers are NOT consultant approver columns. They are mapped to canonical 'Exception List' and excluded from response processing in the FLAT_GED builder.,Per consultant_mapping.py: 'Exception List rows are excluded from GED_RAW_FLAT and never written to GED_OPERATIONS.'
sas_role_special,src/flat_ged/input/source_main/consultant_mapping.py:SPECIAL_CASES,'0-SAS' -> 'conformity_gate',The 0-SAS column is present in GED but is NOT a consultant. Excluded from consultant response processing.,Conformity gate column.
moex_sas_special,src/flat_ged/input/source_main/consultant_mapping.py:SPECIAL_CASES,'MOEX SAS' -> 'sas_only_consultant',The SAS role for GEMO. Its responses live in the '0-SAS' column. Must NEVER be merged with 'Maître d'Oeuvre EXE'.,Triggers the dedicated build_sas_fiche path in reporting.consultant_fiche.
bureau_de_controle_vocab,src/flat_ged/input/source_main/consultant_mapping.py:SPECIAL_CASES + status_mapping.py,"'Bureau de Contrôle' uses {'FAV','SUS','DEF'} not {'VAO','VSO','REF','HM','SUS'}","Status interpretation must use the BC vocabulary for SOCOTEC rows. Reflected in STATUS_LABELS_BY_CANONICAL: {s1:FAV, s2:SUS, s3:DEF}.",SUS overlaps with the standard vocab semantically; both mean suspended/with reservations.
sas_rappel_pre2026_filter,src/pipeline/stages/stage_normalize.py + src/pipeline/stages/stage_read_flat.py (Decision 3),Removes SAS RAPPEL responses dated before 2026,Filters out old unresolved SAS RAPPEL reminders before they enter the workflow. Builds ctx.sas_filtered_df for audit.,_apply_sas_filter_flat in stage_read_flat reproduces the filter for the flat path.
report_memory_confidence_gate,src/pipeline/stages/stage_report_memory.py:_ELIGIBLE_CONFIDENCE_VALUES,"{'HIGH','MEDIUM'}",Only HIGH and MEDIUM consultant matches are persisted to report_memory.db. LOW-confidence matches stay in consultant_match_report.xlsx for review.,Hard gate.
secondary_window_focus,src/reporting/focus_ownership.py:SECONDARY_WINDOW_DAYS,10,Secondary consultants own a doc only within 10 days of the latest primary answer. Past that window MOEX takes over.,Hardcoded business rule.
visa_terminal_set,src/reporting/focus_ownership.py:TERMINAL_VISA + focus_filter.py:TERMINAL_STATUSES,"{'VSO','VAO','SAS REF','HM'}",Documents whose _visa_global is in this set are CLOSED in Focus mode (resolved set in focus_filter).,Used by both ownership rules and stale/resolved classification.
auto_reconcile_thresholds,src/reconciliation_engine.py,"SCORE_AUTO_RECONCILE=0.85, SCORE_PROBABLE_REVIEW=0.70",Patch F fuzzy reconciliation: scores >=0.85 auto-reconcile; 0.70-0.85 go to REVIEW_REQUIRED.,Title-similarity / date-proximity scoring.
pj_attachment_flag,src/flat_ged/input/source_main/ged_parser_contract.py:APPROVER_SUB_OFFSETS,PJ at offset 3 -> any non-None/non-zero value -> flag=1,The 'PJ' sub-column of an approver is treated as a boolean flag.,Convention.
ui_ged_filename_heuristic,app.Api._detect_file,GED: name uppercase contains 'GED' OR '17CO'; GF: name lowercase contains 'grandfichier',Auto-fills the Executer file pickers from input/.,First match wins.
